-20,620,1100,0,-350,-200,270,470;270,470,270,480,500,600,750,200;750,200,900,0,1100,100,1200,300
-20,-20,50,150,100,200,600,100;600,100,900,50,1000,900,640,450;640,450,450,150,800,-20,1200,150
-20,390,250,-150,300,0,500,250;500,250,700,500,800,600,1500,350;1500,350,1400,-1000,500,-1100,100,-300
300,620,900,300,560,200,420,260;420,260,20,400,700,750,1050,200;1050,200,1200,-50,2500,100,1300,300
-20,300,650,750,650,220,400,260;400,260,20,400,1000,750,550,2000;550,2000,0,0,4200,500,1200,-100
10,300,1000,600,550,0,400,300;400,300,270,580,500,600,3250,200;3250,200,900,0,1200,800,2200,300
-20,200,300,0,250,150,650,380;650,380,920,500,900,450,930,420;930,420,1200,-150,50,250,1300,500
150,-20,650,580,860,340,690,200;690,200,310,60,700,900,400,1800;400,1800,100,100,4200,500,1200,-100
-20,550,300,150,600,0,900,325;900,325,1200,700,1000,300,2000,250;2000,250,1400,-1000,500,-1100,100,-300
-20,400,450,50,600,0,900,325;900,325,1200,700,200,400,1250,250;1250,250,1400,-1000,500,-1100,100,-300
-20,400,-1050,850,-200,600,-200,325;-200,325,800,700,200,400,1250,150;1250,150,1400,-1000,500,-1100,100,-3000,530,400,500,190,250,500,90;500,90,900,-60,850,200,870,300;900,600,1800,300,1300,400,1300,400
-20, -20, 850, 533, -200, 500, 248, 170; 248, 170, 248, 170, 415, 90, 578, 217; 578, 217, 578, 217, 778, 447, 1213, 447
778, 621, 670, 23, 1438, 485, 766, 480; 766, 480, 766, 480, 600, 397, 779, 193; 779, 193, 779, 193, 871, 89, 1154, -20
-20, 340, 422, -390, 891, 342, 531, 363; 531, 363, 531, 363, 239, 319, 500, 35; 500, 35, 500, 35, 536, -30, 998, -30
-20, 150, 270, 198, 98, 572, 449, 630; 449, 630, 449, 630, 850, 709, 951, 532; 951, 532, 951, 532, 1050, 292, 1208, 316
6, 610, 705, -200, 1019, 247, 758, 320; 758, 320, 758, 320, 520, 350, 662, 140; 662, 140, 662, 140, 720, 0, 1084, -30
-20, 0, 483, 88, 300, 589, 700, 450; 700, 450,700, 450, 874, 391, 860, 144; 860, 144, 860, 144, 837, -40, 1197, 0
-20, 620, 350, 317, 561, 350, 700, 450; 700, 450, 700, 450, 912, 642, 1045, 449; 1045, 449, 1045, 449, 1181, 253, 1197, 0
403, 618, 1111, 550, 561, 350, 700, 550; 700, 550, 700, 550, 798, 642, 900, 550; 900, 550, 900, 550, 1121, 262, 1209, 277
